Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,6,3
Manslaughter,,
Forcible Rape,14,7
Robbery,40,18
Aggravated Assault,126,51
Burglary,112,134
Larceny,518,582
Motor Vehicle Theft,300,235
Arson,3,29
SUBTOTAL FOR PART I OFFENSES,"1,119","1,059"
Other Assaults,"1,086","1,013"
Forgery & Counterfeiting,101,13
Fraud,91,10
Embezzlement,105,19
"Stolen Property: Buy, Receiving, Poss.",9,17
Vandalism,98,210
"Weapons: Possessing, Etc.",104,80
Prostitution & Commercialized Vice,23,
Sex Offenses (except Rape & Prostitution),44,34
Narcotic Drug Laws: Sale/Manufacture,79,17
Narcotic Drug Laws: Possession,697,277
Gambling,,
Offenses Against the Family,12,2
Driving Under the Influence,"1,529",30
Liquor Laws,124,117
Public Drunkenness,29,25
Disorderly Conduct,804,215
All Other (except Traffic),"4,474",760
Curfew & Loitering,,198
"Runaways, Juveniles Apprehended",,639
SUBTOTAL FOR PART II OFFENSES,"9,409","3,676"
TOTAL,"10,528","4,735"
