Arrests by Offense,Nottoway,
,Adult,Juvenile
Murder,3,
Manslaughter,,
Forcible Rape,6,
Robbery,2,
Aggravated Assault,19,1
Burglary,3,2
Larceny,46,12
Motor Vehicle Theft,5,
Arson,4,
SUBTOTAL FOR PART I OFFENSES,88,15
Other Assaults,119,2
Forgery & Counterfeiting,6,1
Fraud,23,1
Embezzlement,5,
"Stolen Property: Buy, Receiving, Poss.",1,
Vandalism,11,1
"Weapons: Possessing, Etc.",4,1
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),6,1
Narcotic Drug Laws: Sale/Manufacture,14,
Narcotic Drug Laws: Possession,13,1
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,87,1
Liquor Laws,8,8
Public Drunkenness,38,
Disorderly Conduct,18,2
All Other (except Traffic),285,8
Curfew & Loitering,,9
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,638,36
TOTAL,726,51
