Arrests by Offense,Radford,
,Adult,Juvenile
Murder,,
Manslaughter,,1
Forcible Rape,4,
Robbery,4,
Aggravated Assault,35,1
Burglary,24,1
Larceny,48,11
Motor Vehicle Theft,3,
Arson,,
SUBTOTAL FOR PART I OFFENSES,119,13
Other Assaults,135,6
Forgery & Counterfeiting,14,
Fraud,122,
Embezzlement,1,1
"Stolen Property: Buy, Receiving, Poss.",4,
Vandalism,20,2
"Weapons: Possessing, Etc.",13,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,93,1
Narcotic Drug Laws: Possession,102,2
Gambling,,
Offenses Against the Family,9,
Driving Under the Influence,114,
Liquor Laws,479,24
Public Drunkenness,277,
Disorderly Conduct,17,
All Other (except Traffic),616,4
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,4
SUBTOTAL FOR PART II OFFENSES,"2,018",44
TOTAL,"2,137",57
