Arrests by Offense,Bath,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,,
Robbery,,
Aggravated Assault,3,
Burglary,,2
Larceny,,
Motor Vehicle Theft,,
Arson,,
SUBTOTAL FOR PART I OFFENSES,3,2
Other Assaults,1,
Forgery & Counterfeiting,,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,,
"Weapons: Possessing, Etc.",,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,,
Narcotic Drug Laws: Possession,3,
Gambling,,
Offenses Against the Family,2,
Driving Under the Influence,8,
Liquor Laws,2,
Public Drunkenness,1,1
Disorderly Conduct,,
All Other (except Traffic),2,
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",6,
SUBTOTAL FOR PART II OFFENSES,19,1
TOTAL,22,3
