Arrests by Offense,Williamsburg,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,1,
Robbery,5,
Aggravated Assault,17,2
Burglary,4,
Larceny,62,14
Motor Vehicle Theft,11,6
Arson,1,1
SUBTOTAL FOR PART I OFFENSES,101,23
Other Assaults,89,15
Forgery & Counterfeiting,7,
Fraud,4,1
Embezzlement,6,
"Stolen Property: Buy, Receiving, Poss.",2,
Vandalism,4,2
"Weapons: Possessing, Etc.",7,2
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,4
Narcotic Drug Laws: Sale/Manufacture,18,
Narcotic Drug Laws: Possession,59,7
Gambling,,
Offenses Against the Family,1,
Driving Under the Influence,83,
Liquor Laws,25,14
Public Drunkenness,168,
Disorderly Conduct,4,2
All Other (except Traffic),65,10
Curfew & Loitering,,26
"Runaways, Juveniles Apprehended",,2
SUBTOTAL FOR PART II OFFENSES,544,85
TOTAL,645,108
