Arrests by Offense,Lexington,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,,1
Robbery,,
Aggravated Assault,3,1
Burglary,5,
Larceny,8,4
Motor Vehicle Theft,,1
Arson,,
SUBTOTAL FOR PART I OFFENSES,16,7
Other Assaults,20,
Forgery & Counterfeiting,1,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,5,
"Weapons: Possessing, Etc.",4,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,20,
Narcotic Drug Laws: Possession,9,2
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,47,1
Liquor Laws,13,2
Public Drunkenness,55,1
Disorderly Conduct,6,1
All Other (except Traffic),29,1
Curfew & Loitering,,3
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,209,11
TOTAL,225,18
