Arrests by Offense,Petersburg,
,Adult,Juvenile
Murder,2,
Manslaughter,,
Forcible Rape,4,1
Robbery,22,2
Aggravated Assault,131,16
Burglary,53,23
Larceny,161,29
Motor Vehicle Theft,23,5
Arson,2,
SUBTOTAL FOR PART I OFFENSES,398,76
Other Assaults,565,53
Forgery & Counterfeiting,83,
Fraud,,
Embezzlement,10,
"Stolen Property: Buy, Receiving, Poss.",26,16
Vandalism,67,7
"Weapons: Possessing, Etc.",52,11
Prostitution & Commercialized Vice,13,
Sex Offenses (except Rape & Prostitution),1,5
Narcotic Drug Laws: Sale/Manufacture,5,
Narcotic Drug Laws: Possession,6,1
Gambling,,5
Offenses Against the Family,,
Driving Under the Influence,171,
Liquor Laws,287,12
Public Drunkenness,226,4
Disorderly Conduct,212,11
All Other (except Traffic),776,104
Curfew & Loitering,,64
"Runaways, Juveniles Apprehended",,100
SUBTOTAL FOR PART II OFFENSES,"2,505",388
TOTAL,"2,903",464
