Arrests by Offense,Hampton,
,Adult,Juvenile
Murder,12,1
Manslaughter,,1
Forcible Rape,21,2
Robbery,85,18
Aggravated Assault,346,29
Burglary,138,43
Larceny,623,377
Motor Vehicle Theft,18,23
Arson,4,
SUBTOTAL FOR PART I OFFENSES,"1,248",493
Other Assaults,901,177
Forgery & Counterfeiting,108,13
Fraud,286,8
Embezzlement,58,2
"Stolen Property: Buy, Receiving, Poss.",73,24
Vandalism,32,62
"Weapons: Possessing, Etc.",214,28
Prostitution & Commercialized Vice,9,1
Sex Offenses (except Rape & Prostitution),54,25
Narcotic Drug Laws: Sale/Manufacture,446,11
Narcotic Drug Laws: Possession,375,113
Gambling,,
Offenses Against the Family,17,1
Driving Under the Influence,550,1
Liquor Laws,23,14
Public Drunkenness,925,2
Disorderly Conduct,151,28
All Other (except Traffic),"2,428",133
Curfew & Loitering,,127
"Runaways, Juveniles Apprehended",,357
SUBTOTAL FOR PART II OFFENSES,"6,650","1,127"
TOTAL,"7,898","1,620"
