Arrests by Offense,Fairfax,
,Adult,Juvenile
Murder,6,1
Manslaughter,,1
Forcible Rape,19,
Robbery,55,22
Aggravated Assault,172,28
Burglary,210,41
Larceny,"1,512",443
Motor Vehicle Theft,123,40
Arson,17,17
SUBTOTAL FOR PART I OFFENSES,"2,115",592
Other Assaults,"1,831",199
Forgery & Counterfeiting,161,8
Fraud,371,35
Embezzlement,145,4
"Stolen Property: Buy, Receiving, Poss.",66,6
Vandalism,155,103
"Weapons: Possessing, Etc.",190,88
Prostitution & Commercialized Vice,61,
Sex Offenses (except Rape & Prostitution),120,22
Narcotic Drug Laws: Sale/Manufacture,109,10
Narcotic Drug Laws: Possession,"1,258",191
Gambling,,5
Offenses Against the Family,21,
Driving Under the Influence,"2,800",58
Liquor Laws,353,577
Public Drunkenness,"3,506",113
Disorderly Conduct,230,122
All Other (except Traffic),"1,991",565
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,23
SUBTOTAL FOR PART II OFFENSES,"13,373","2,124"
TOTAL,"15,488","2,716"
