Arrests by Offense,Frederick,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,2,1
Robbery,3,
Aggravated Assault,22,3
Burglary,33,67
Larceny,122,62
Motor Vehicle Theft,6,5
Arson,4,1
SUBTOTAL FOR PART I OFFENSES,192,139
Other Assaults,306,14
Forgery & Counterfeiting,8,1
Fraud,1,
Embezzlement,2,
"Stolen Property: Buy, Receiving, Poss.",4,
Vandalism,30,15
"Weapons: Possessing, Etc.",28,4
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),7,5
Narcotic Drug Laws: Sale/Manufacture,19,1
Narcotic Drug Laws: Possession,127,13
Gambling,,
Offenses Against the Family,,
Driving Under the Influence,270,1
Liquor Laws,18,6
Public Drunkenness,359,12
Disorderly Conduct,14,1
All Other (except Traffic),921,34
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,2
SUBTOTAL FOR PART II OFFENSES,"2,114",109
TOTAL,"2,306",248
