Arrests by Offense,Norton,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,1,
Robbery,1,
Aggravated Assault,8,
Burglary,,
Larceny,78,25
Motor Vehicle Theft,1,
Arson,,
SUBTOTAL FOR PART I OFFENSES,89,25
Other Assaults,31,2
Forgery & Counterfeiting,5,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",2,
Vandalism,6,1
"Weapons: Possessing, Etc.",11,3
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,,
Narcotic Drug Laws: Possession,25,5
Gambling,,
Offenses Against the Family,10,
Driving Under the Influence,89,4
Liquor Laws,41,21
Public Drunkenness,125,1
Disorderly Conduct,9,
All Other (except Traffic),162,2
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,2
SUBTOTAL FOR PART II OFFENSES,518,41
TOTAL,607,66
