Arrests by Offense,Henry,
,Adult,Juvenile
Murder,6,
Manslaughter,,1
Forcible Rape,7,
Robbery,12,6
Aggravated Assault,66,6
Burglary,54,10
Larceny,197,15
Motor Vehicle Theft,21,9
Arson,2,
SUBTOTAL FOR PART I OFFENSES,366,46
Other Assaults,455,36
Forgery & Counterfeiting,49,1
Fraud,33,
Embezzlement,9,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,71,23
"Weapons: Possessing, Etc.",44,8
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),6,1
Narcotic Drug Laws: Sale/Manufacture,47,23
Narcotic Drug Laws: Possession,38,6
Gambling,,
Offenses Against the Family,2,
Driving Under the Influence,197,4
Liquor Laws,11,1
Public Drunkenness,337,1
Disorderly Conduct,15,2
All Other (except Traffic),711,42
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",625,
SUBTOTAL FOR PART II OFFENSES,"2,025",149
TOTAL,"2,391",195
