Arrests by Offense,Portsmouth,
,Adult,Juvenile
Murder,9,
Manslaughter,,
Forcible Rape,13,1
Robbery,82,13
Aggravated Assault,120,19
Burglary,114,21
Larceny,464,63
Motor Vehicle Theft,9,30
Arson,5,
SUBTOTAL FOR PART I OFFENSES,816,147
Other Assaults,"1,399",135
Forgery & Counterfeiting,52,
Fraud,62,1
Embezzlement,17,
"Stolen Property: Buy, Receiving, Poss.",19,
Vandalism,103,10
"Weapons: Possessing, Etc.",90,6
Prostitution & Commercialized Vice,13,
Sex Offenses (except Rape & Prostitution),21,
Narcotic Drug Laws: Sale/Manufacture,257,3
Narcotic Drug Laws: Possession,540,10
Gambling,,2
Offenses Against the Family,37,
Driving Under the Influence,247,
Liquor Laws,19,1
Public Drunkenness,335,2
Disorderly Conduct,56,16
All Other (except Traffic),"3,107",67
Curfew & Loitering,,4
"Runaways, Juveniles Apprehended",,11
SUBTOTAL FOR PART II OFFENSES,"6,376",266
TOTAL,"7,192",413
