Arrests by Offense,Norfolk,
,Adult,Juvenile
Murder,15,
Manslaughter,,
Forcible Rape,5,1
Robbery,17,4
Aggravated Assault,31,8
Burglary,23,8
Larceny,378,142
Motor Vehicle Theft,9,30
Arson,,
SUBTOTAL FOR PART I OFFENSES,478,193
Other Assaults,276,11
Forgery & Counterfeiting,43,1
Fraud,44,
Embezzlement,10,
"Stolen Property: Buy, Receiving, Poss.",15,5
Vandalism,19,11
"Weapons: Possessing, Etc.",66,21
Prostitution & Commercialized Vice,84,
Sex Offenses (except Rape & Prostitution),16,4
Narcotic Drug Laws: Sale/Manufacture,45,1
Narcotic Drug Laws: Possession,229,12
Gambling,1,4
Offenses Against the Family,43,
Driving Under the Influence,311,
Liquor Laws,865,12
Public Drunkenness,"1,062",10
Disorderly Conduct,539,34
All Other (except Traffic),"4,757",421
Curfew & Loitering,,47
"Runaways, Juveniles Apprehended",,61
SUBTOTAL FOR PART II OFFENSES,"8,428",651
TOTAL,"8,906",844
