Arrests by Offense,Dinwiddie,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,2,1
Robbery,1,1
Aggravated Assault,14,5
Burglary,16,3
Larceny,35,36
Motor Vehicle Theft,13,8
Arson,,1
SUBTOTAL FOR PART I OFFENSES,81,55
Other Assaults,88,14
Forgery & Counterfeiting,17,1
Fraud,4,2
Embezzlement,1,1
"Stolen Property: Buy, Receiving, Poss.",1,1
Vandalism,7,17
"Weapons: Possessing, Etc.",3,1
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,3
Narcotic Drug Laws: Sale/Manufacture,3,5
Narcotic Drug Laws: Possession,26,10
Gambling,,
Offenses Against the Family,2,
Driving Under the Influence,34,1
Liquor Laws,,2
Public Drunkenness,12,1
Disorderly Conduct,3,
All Other (except Traffic),97,3
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,9
SUBTOTAL FOR PART II OFFENSES,300,71
TOTAL,381,126
