Arrests by Offense,Greensville,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,,
Robbery,,
Aggravated Assault,1,
Burglary,,
Larceny,,
Motor Vehicle Theft,,
Arson,,
SUBTOTAL FOR PART I OFFENSES,1,
Other Assaults,,
Forgery & Counterfeiting,,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,
Vandalism,,
"Weapons: Possessing, Etc.",2,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),,
Narcotic Drug Laws: Sale/Manufacture,4,1
Narcotic Drug Laws: Possession,15,
Gambling,,
Offenses Against the Family,1,
Driving Under the Influence,89,
Liquor Laws,8,
Public Drunkenness,,
Disorderly Conduct,,
All Other (except Traffic),34,1
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,153,2
TOTAL,154,2
