Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,16,
Manslaughter,,4
Forcible Rape,27,3
Robbery,120,60
Aggravated Assault,135,20
Burglary,160,98
Larceny,"1,430",671
Motor Vehicle Theft,8,16
Arson,35,15
SUBTOTAL FOR PART I OFFENSES,"1,935",883
Other Assaults,"2,878",496
Forgery & Counterfeiting,254,6
Fraud,432,13
Embezzlement,119,7
"Stolen Property: Buy, Receiving, Poss.",33,24
Vandalism,230,146
"Weapons: Possessing, Etc.",336,91
Prostitution & Commercialized Vice,97,1
Sex Offenses (except Rape & Prostitution),196,61
Narcotic Drug Laws: Sale/Manufacture,300,23
Narcotic Drug Laws: Possession,"1,487",350
Gambling,,9
Offenses Against the Family,211,28
Driving Under the Influence,"2,164",8
Liquor Laws,"2,176",311
Public Drunkenness,"1,954",14
Disorderly Conduct,"1,298",296
All Other (except Traffic),"9,903","1,302"
Curfew & Loitering,,991
"Runaways, Juveniles Apprehended",,14
SUBTOTAL FOR PART II OFFENSES,"24,077","4,182"
TOTAL,"26,012","5,065"
