Arrests by Offense,Gloucester,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,2,3
Robbery,2,
Aggravated Assault,17,2
Burglary,17,11
Larceny,74,28
Motor Vehicle Theft,11,10
Arson,3,4
SUBTOTAL FOR PART I OFFENSES,126,58
Other Assaults,189,32
Forgery & Counterfeiting,15,
Fraud,6,1
Embezzlement,2,
"Stolen Property: Buy, Receiving, Poss.",2,2
Vandalism,13,7
"Weapons: Possessing, Etc.",19,6
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),6,
Narcotic Drug Laws: Sale/Manufacture,39,1
Narcotic Drug Laws: Possession,63,16
Gambling,,
Offenses Against the Family,10,
Driving Under the Influence,142,3
Liquor Laws,16,22
Public Drunkenness,86,4
Disorderly Conduct,2,
All Other (except Traffic),100,1
Curfew & Loitering,,11
"Runaways, Juveniles Apprehended",,1
SUBTOTAL FOR PART II OFFENSES,710,107
TOTAL,836,165
