Arrests by Offense,Cumberland,
,Adult,Juvenile
Murder,1,
Manslaughter,,
Forcible Rape,3,
Robbery,,
Aggravated Assault,10,
Burglary,11,9
Larceny,26,12
Motor Vehicle Theft,8,
Arson,,
SUBTOTAL FOR PART I OFFENSES,59,21
Other Assaults,86,2
Forgery & Counterfeiting,5,
Fraud,,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",2,
Vandalism,7,2
"Weapons: Possessing, Etc.",7,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,2,
Narcotic Drug Laws: Possession,14,
Gambling,,1
Offenses Against the Family,,
Driving Under the Influence,72,
Liquor Laws,8,5
Public Drunkenness,3,
Disorderly Conduct,2,
All Other (except Traffic),173,7
Curfew & Loitering,,3
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,384,19
TOTAL,443,40
