Arrests by Offense,Buckingham ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",5,3
Robbery,3,0
Aggravated Assault,13,2
Simple Assault/Intimidation,140,16
Arson,0,0
Extortion/Blackmail,0,0
Burglary,22,7
Larceny,18,5
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,5,0
Fraud,7,0
Embezzlement,2,0
Stolen Property,1,0
Vandalism,12,5
Drug/Narcotic Offenses,37,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,13,2
TOTAL GROUP A,282,44
Bad Checks,50,1
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,3
Driving Under Influence,84,2
Drunkenness,17,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,8,6
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,21,2
Conspiracy,0,0
All Other (except Traffic),193,11
TOTAL GROUP B,376,26
GRAND TOTAL,658,70
