Arrests by Offense,Total City,
,Adult,Juvenile
Murder,137,16
Manslaughter,3,1
Kidnaping,296,10
"Sex Offenses, Forcible",480,136
Robbery,733,158
Aggravated Assault,1808,216
Simple Assault/Intimidation,"14,403",2055
Arson,49,79
Extortion/Blackmail,8,16
Burglary,933,338
Larceny,"6,739","2,073"
Motor Vehicle Theft,427,294
Counterfeiting/Forgery,1075,35
Fraud,1056,37
Embezzlement,568,26
Stolen Property,292,90
Vandalism,1228,520
Drug/Narcotic Offenses,10544,1035
"Sex Offenses, Nonforcible",46,8
Pornography,7,0
Gambling,20,6
Prostitution,438,1
Bribery,4,0
Weapon Law Violations,"1,235",247
TOTAL GROUP A,"42,529",7397
Bad Checks,"2,875",4
Curfew/Loitering/Vagrancy,70,1513
Disorderly Conduct,"3,000",611
Driving Under Influence,8424,79
Drunkenness,13895,86
"Family Offenses, Nonforcible",622,15
Liquor Laws Violations,"5,093",823
Peeping Tom,28,4
Runaway,0,802
Trespass of Real Property,4410,581
Conspiracy,8,1
All Other (except Traffic),42993,4067
TOTAL GROUP B,81418,8586
GRAND TOTAL,123947,15983
