Arrests by Offense,Northampton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",2,0
Robbery,3,4
Aggravated Assault,23,1
Simple Assault/Intimidation,95,10
Arson,0,0
Extortion/Blackmail,0,0
Burglary,11,4
Larceny,57,8
Motor Vehicle Theft,7,2
Counterfeiting/Forgery,13,0
Fraud,1,0
Embezzlement,8,1
Stolen Property,4,0
Vandalism,18,4
Drug/Narcotic Offenses,62,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,13,0
TOTAL GROUP A,320,35
Bad Checks,60,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,14,2
Driving Under Influence,25,0
Drunkenness,30,0
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,1,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,12,0
Conspiracy,1,0
All Other (except Traffic),89,8
TOTAL GROUP B,235,11
GRAND TOTAL,555,46
