Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",17,1
Robbery,14,4
Aggravated Assault,58,4
Simple Assault/Intimidation,527,37
Arson,6,0
Extortion/Blackmail,3,0
Burglary,39,3
Larceny,113,17
Motor Vehicle Theft,1,3
Counterfeiting/Forgery,61,0
Fraud,64,0
Embezzlement,17,0
Stolen Property,7,0
Vandalism,71,6
Drug/Narcotic Offenses,294,39
"Sex Offenses, Nonforcible",2,1
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,42,5
TOTAL GROUP A,"1,343",120
Bad Checks,748,0
Curfew/Loitering/Vagrancy,,12
Disorderly Conduct,42,7
Driving Under Influence,201,4
Drunkenness,435,1
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,26,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,139,9
Conspiracy,0,0
All Other (except Traffic),1177,145
TOTAL GROUP B,2769,186
GRAND TOTAL,4112,306
