Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,0,0
Aggravated Assault,2,0
Simple Assault/Intimidation,4,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,
Larceny,43,
Motor Vehicle Theft,0,1
Counterfeiting/Forgery,1,0
Fraud,7,0
Embezzlement,6,0
Stolen Property,1,0
Vandalism,0,0
Drug/Narcotic Offenses,80,1
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,20,0
Bribery,0,0
Weapon Law Violations,13,0
TOTAL GROUP A,181,2
Bad Checks,15,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,,
Driving Under Influence,170,0
Drunkenness,54,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,27,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,47,0
Conspiracy,0,0
All Other (except Traffic),163,15
TOTAL GROUP B,477,16
GRAND TOTAL,658,18
