Arrests by Offense,Norfolk,
,Adult,Juvenile
Murder,15,0
Manslaughter,0,1
Kidnaping,35,1
"Sex Offenses, Forcible",53,12
Robbery,56,4
Aggravated Assault,70,12
Simple Assault/Intimidation,719,25
Arson,1,0
Extortion/Blackmail,0,0
Burglary,64,3
Larceny,837,169
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,90,0
Fraud,48,1
Embezzlement,30,0
Stolen Property,33,2
Vandalism,45,17
Drug/Narcotic Offenses,1086,34
"Sex Offenses, Nonforcible",9,1
Pornography,0,0
Gambling,2,0
Prostitution,132,0
Bribery,0,0
Weapon Law Violations,64,8
TOTAL GROUP A,"3,392",290
Bad Checks,190,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,"1,047",60
Driving Under Influence,798,1
Drunkenness,2061,4
"Family Offenses, Nonforcible",212,1
Liquor Laws Violations,"1,656",31
Peeping Tom,3,0
Runaway,0,142
Trespass of Real Property,1311,93
Conspiracy,0,0
All Other (except Traffic),6812,1480
TOTAL GROUP B,14090,1812
GRAND TOTAL,17482,2102
