Arrests by Offense,Bath,
,Juvenile,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,1
"Sex Offenses, Forcible",1,8
Robbery,0,9
Aggravated Assault,0,15
Simple Assault/Intimidation,,102
Arson,0,5
Extortion/Blackmail,0,1
Burglary,,15
Larceny,,327
Motor Vehicle Theft,0,15
Counterfeiting/Forgery,0,1
Fraud,0,79
Embezzlement,0,4
Stolen Property,0,2
Vandalism,2,36
Drug/Narcotic Offenses,0,53
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,,4
TOTAL GROUP A,3,677
Bad Checks,,0
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,,19
Driving Under Influence,0,8
Drunkenness,0,4
"Family Offenses, Nonforcible",,1
Liquor Laws Violations,3,24
Peeping Tom,0,1
Runaway,0,156
Trespass of Real Property,0,20
Conspiracy,0,0
All Other (except Traffic),2,93
TOTAL GROUP B,5,327
GRAND TOTAL,8,1004
