Arrests by Offense,Bristol,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,9,0
"Sex Offenses, Forcible",10,0
Robbery,6,1
Aggravated Assault,27,4
Simple Assault/Intimidation,202,12
Arson,0,0
Extortion/Blackmail,0,0
Burglary,24,1
Larceny,147,9
Motor Vehicle Theft,6,1
Counterfeiting/Forgery,50,1
Fraud,43,0
Embezzlement,5,0
Stolen Property,4,0
Vandalism,12,7
Drug/Narcotic Offenses,118,3
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,12,2
TOTAL GROUP A,678,41
Bad Checks,28,2
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,13,1
Driving Under Influence,148,1
Drunkenness,396,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,38,9
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,24,1
Conspiracy,0,0
All Other (except Traffic),158,8
TOTAL GROUP B,807,22
GRAND TOTAL,1485,63
