Arrests by Offense,Smyth,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",6,3
Robbery,0,0
Aggravated Assault,34,4
Simple Assault/Intimidation,236,7
Arson,0,1
Extortion/Blackmail,0,0
Burglary,17,4
Larceny,61,19
Motor Vehicle Theft,15,2
Counterfeiting/Forgery,20,3
Fraud,17,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,43,13
Drug/Narcotic Offenses,139,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,3,0
Weapon Law Violations,26,3
TOTAL GROUP A,618,62
Bad Checks,175,0
Curfew/Loitering/Vagrancy,2,0
Disorderly Conduct,11,3
Driving Under Influence,164,4
Drunkenness,169,0
"Family Offenses, Nonforcible",9,
Liquor Laws Violations,61,28
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,30,0
Conspiracy,0,0
All Other (except Traffic),353,22
TOTAL GROUP B,974,57
GRAND TOTAL,1592,119
