Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,8,4
Manslaughter,0,0
Kidnaping,23,2
"Sex Offenses, Forcible",72,44
Robbery,100,25
Aggravated Assault,86,17
Simple Assault/Intimidation,"2,888",617
Arson,9,7
Extortion/Blackmail,2,16
Burglary,113,52
Larceny,"1,106",512
Motor Vehicle Theft,45,43
Counterfeiting/Forgery,102,10
Fraud,114,6
Embezzlement,97,3
Stolen Property,29,14
Vandalism,198,152
Drug/Narcotic Offenses,1724,305
"Sex Offenses, Nonforcible",10,3
Pornography,1,0
Gambling,3,0
Prostitution,107,0
Bribery,1,0
Weapon Law Violations,206,57
TOTAL GROUP A,"7,044",1889
Bad Checks,201,0
Curfew/Loitering/Vagrancy,23,865
Disorderly Conduct,849,257
Driving Under Influence,2490,15
Drunkenness,3683,20
"Family Offenses, Nonforcible",11,1
Liquor Laws Violations,"1,377",381
Peeping Tom,4,1
Runaway,0,1
Trespass of Real Property,488,147
Conspiracy,0,0
All Other (except Traffic),10149,909
TOTAL GROUP B,19275,2597
GRAND TOTAL,26319,4486
