Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",9,1
Robbery,7,0
Aggravated Assault,21,4
Simple Assault/Intimidation,174,13
Arson,0,0
Extortion/Blackmail,0,0
Burglary,37,3
Larceny,103,10
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,22,1
Fraud,8,0
Embezzlement,9,0
Stolen Property,5,0
Vandalism,16,0
Drug/Narcotic Offenses,99,4
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,16,1
TOTAL GROUP A,538,37
Bad Checks,97,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,17,3
Driving Under Influence,146,1
Drunkenness,339,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,7,5
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,62,3
Conspiracy,0,0
All Other (except Traffic),644,31
TOTAL GROUP B,1313,43
GRAND TOTAL,1851,80
