Complaints - Non Criminal - Traffic Complaints,Total
Assist Motorists,151
Crash/Priv. Prop.,59
Crash/Street,189
Directing,20
Funeral Escorts,85
Hazards,62
Miscellaneous,119
Parking Complaint,28
Reckless Driving,27
Suspended OL,143
