Complaints - Non Criminal - Animal Calls,Total
Dogs,214
Raccoon,5
Cats,11
Groundhog,4
Deer,14
Opossum,3
Skunk,7
Snakes,2
Birds,0
Bat,0
Squirrel,0
Fox,2
Bear,3
Livestock,0
All Other,64
