Hour of Day,Calls Received for PD
2400-0200,919
0200-0400,636
0400-0600,356
0600-0800,545
0800-1000,1326
1000-1200,1623
1200-1400,1626
1400-1600,1716
1600-1800,1426
1800-2000,1282
2000-2200,1444
2200-2400,1269
