SEIZURES ,2006,2007,2008,2009,2010,2011,2012,7 YEAR TOTAL
FIREARM ,61,29,59,42,24,19,22,256
MARIJUANA (pounds),11,19,21,10,78,132,29,300
METHAMPHETAMINE (grams),1961,571,32,139,673,0,0,"3,382"
COCAINE (grams) ,1212,1798,3706,4247,2331,2298,1255,"16,847"
ARRESTS ,145,167,229,261,203,200,201,"1,406"
