,All Priority 1 Calls,Urban Areas P1 Calls,Rural Areas Priority 1 Calls
Total Calls,346,209,137
1st Officer Time,7.775 Minutes,4.437 Minutes,12.828 Minutes
2nd Officer Time,10.856 Minutes,6.998 Minutes,16.059 Minutes
Difference,3.005 Minutes,2.517 Minutes,3.750 Minutes
