Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,351,155,89,83,143,179,201,295,261,321,399,429,214
Tuesday,296,152,59,72,150,159,231,271,272,320,447,390,181
Wednesday,332,163,70,82,141,166,196,246,273,301,375,444,210
Thursday,367,160,77,79,155,172,220,237,261,303,440,397,157
Friday,371,201,89,87,159,192,236,249,316,370,474,564,221
Saturday,677,423,157,108,126,177,219,206,245,360,506,593,207
Sunday,669,472,186,112,114,139,187,224,259,312,415,450,215
TOTAL,3063,1726,727,623,988,1184,1490,1728,1887,2287,3056,3267,1405
