Age,Number,Percent Distribution
Under 10,237,0.08
10--12,2143,0.68
13--14,8561,2.72
15,7889,2.51
16,9379,2.98
17,10390,3.3
18,14003,4.45
19,15111,4.8
20,14596,4.64
21,13827,4.39
22,12618,4.01
23,11627,3.69
24,10986,3.49
25-29,44312,14.07
30-34,31155,9.9
35-39,31105,9.88
40-44,29444,9.35
45-49,22692,7.21
50-54,12910,4.1
55-59,6362,2.02
60-64,2834,0.9
65 & Over,2662,0.85
TOTAL,314843,100.02
