COUNTY TOTAL,8748,7734,1014,2165
OTHER AGENCY TOTAL,2642,2442,200,981
CITY TOTAL,5773,5054,719,1726
COLLEGE AND UNIVERSITY TOTAL,515,430,85,334
State Total,17678,15660,2018,5206
