Type Security of Structure,Number
Alarm/Audio,1183
Alarm/Silent,314
Bars/Grate,81
Camera,429
Dog,168
Dead Bolt,1976
Locked,9753
Unlocked,2083
Exterior Lights,301
Interior Lights,115
Fence,252
Guard,80
Neighborhood Watch,17
Other,168
None,2872
