Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,125,101,24,44
Ches. Bay Brdg. Tunnel PD,43,41,2,37
Div. of Capitol Police,76,69,7,10
Dept of Conservation & Rec,104,95,9,128
Southside VA Trng Center,18,16,2,3
Richmond Int'l Airport,32,28,4,13
VA Port Authority,78,69,9,7
Norfolk Arpt Authority,35,33,2,7
Metro. Wash.Airport Auth.,186,151,35,67
Virginia State Police,1945,1839,106,665
OTHER AGENCY TOTAL,2642,2442,200,981
