Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""Disturbance"" calls (family quarrels, man with gun, etc.)",372,27.6
2. Burglaries in progress or pursuing burglary suspects,6,0.4
3. Robberies in progress or pursuing robbery suspects,8,0.6
4. Attempting other arrests,291,21.6
"5. Civil disorder (riot, mass disobedience)",13,1
"6. Handling, transporting, custody of prisoners",167,12.4
7. Investigating suspicious persons or circumstances,103,7.7
8. Ambush - no warning,7,0.5
9. Mentally deranged,31,2.3
10. Traffic pursuits and stops,141,10.5
11. All Other,207,15.4
12. Total,1346,100
