Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,0,4,44,75,123
Stolen Property Offenses,0,6,29,29,48,53,165
Destruction/Damage/Vandalism,29,168,416,348,289,368,1618
Drug/Narcotic Violations,2,46,351,476,811,1081,2767
Drug Equipment Violations,0,2,1,4,12,12,31
Incest,0,1,1,0,0,1,3
Statutory Rape,0,0,1,0,3,7,11
Pornography/Obscene Material,0,0,0,1,1,0,2
Betting/Wagering,0,0,0,1,4,0,5
Operating/Promoting/Assisting Gambling,0,0,0,0,0,1,1
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,0,0,0,0
Assisting or Promoting Prostitution,0,0,0,0,1,0,1
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,3,57,178,128,155,176,697
Total Group A Arrests,157,1358,4374,3598,4019,4533,18039
Bad Checks,0,0,2,0,1,4,7
Curfew/Loitering/Vagrancy Violations,6,82,562,629,814,895,2988
Disorderly Conduct,8,157,536,371,406,338,1816
Driving Under the Influence,1,0,3,5,37,127,173
Drunkenness,2,2,26,37,55,116,238
"Family Offenses, Nonviolent",0,0,2,9,1,4,16
Liquor Law Violations,0,13,163,226,511,930,1843
Peeping Tom,0,0,1,4,1,1,7
Runaway,20,209,1256,1243,1382,1150,5260
Trespass of Real Property,7,65,301,275,305,323,1276
Conspiracy to Commit Group A Offense,0,0,1,0,2,1,4
Conspiracy to Commit Group B Offense,0,0,1,0,1,5,7
All Other Offenses,36,257,1333,1492,1844,1963,6925
Total Group B Arrests,80,785,4187,4291,5360,5857,20560
