Point of Entry/Exit,Entry,Exit
Front,5438,4420
Rear,5842,4279
Side,2059,1273
Attic,37,23
Vent/AC,90,20
Window,4672,1799
Door,7965,8358
Patio/Sliding Dr,490,497
Balcony/Fire Escape,49,25
Attached Garage,449,330
Wall,79,51
Vehicle,10,7
Floor,22,18
Roof/Skylight,64,27
Hidden Within,6,4
Other,445,254
Unknown,1220,1655
