Location,Number of Offenses
Air/Bus/Train Terminal,472
Bank/Savings & Loan,545
Bar/Night Club,712
Church/Synagogue/Temple,736
Commercial/Office Building,4535
Construction Site,2892
Convenience Store,6889
Department/Discount Store,11178
Drug Store/Dr Office/Hospital,1982
Field/Woods,936
Government/Public Building,1277
Grocery/Supermarket,4884
Highway/Road/Alley,11192
Hotel/Motel/Etc.,1822
Jail/Penitentiary,36
Lake/Waterway,289
Liquor Store,393
Parking Lot/Garage,19483
Rental/Storage Facility,422
Residence/Home,45711
Restaurant,2786
School/College,7234
Service/Gas Station,5449
Specialty Store,4579
Other/Unknown,9420
TOTAL,145854
