Religious Bias,Total
Anti-Jewish,21
Anti-Catholic,5
Anti-Protestant,6
Anti-Islamic,4
Anti-Other Religion ,6
Anti-Multi-Religious Group,8
Anti-Atheist/Agnostic,2
