Month,Stolen,Recovered,% Recovered
JAN,"25,861,143","6,342,215",24.5
FEB,"19,597,856","4,788,970",24.4
MAR,"21,202,338","4,865,955",23
APR,"21,441,073","4,995,454",23.3
MAY,"24,757,403","5,067,216",20.5
JUN,"27,299,275","6,756,173",24.7
JUL,"28,265,763","5,968,791",21.1
AUG,"31,772,335","6,448,509",20.3
SEP,"26,657,273","5,722,879",21.5
OCT,"26,011,259","5,687,560",21.9
NOV,"23,460,941","5,323,467",22.7
DEC,"20,138,133","4,187,275",20.8
TOTAL,"$296,464,792","$66,154,464",22.30%
