Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport PD,15,13,2,5
Emory & Henry Col. PD,2,2,0,2
Ferrum College PD,7,3,4,0
Geo. Mason Univ. PD,45,35,10,16
Hampton University PD,18,17,1,17
James Madison Univ. PD,25,22,3,7
JSRCC PD,6,4,2,6
Longwood Univ. PD,13,11,2,8
Univ. of Mary Wash. PD,28,22,6,25
Norfolk State Univ. PD,34,32,2,0
N. VA Comm. Col. PD,42,35,7,12
Old Dominion Campus PD,19,18,1,6
Radford Univ. PD,10,8,2,6
Thomas Nelson Col. PD,10,9,1,7
Univ. of Richmond PD,16,13,3,15
University of Virginia PD,54,40,14,61
UVA's Col. at Wise PD,8,7,1,1
VA Commonwlth Univ. PD,76,60,16,97
Virginia Military Institute,7,7,0,0
Virginia State Univ. PD,14,11,3,16
Virginia Tech PD,36,33,3,16
VA Wstrn Comm. Col. PD,6,6,0,0
William & Mary Col. PD,18,18,0,5
COLLEGE AND UNIVERSITY TOTAL,509,426,83,328
