Location,Total
Air/Bus/Train Terminal,43
Bank/Savings & Loan,8
Bar/Night Club,35
Church/Synagogue/Temple,25
Commercial/Office Building,325
Construction Site,48
Convenience Store,131
Department/Discount Store,42
Drug Store/Dr Office/Hospital,26
Field/Woods,82
Government/Public Building,34
Grocery/Supermarket,41
Highway/Road/Alley,3178
Hotel/Motel/Etc.,142
Jail/Penitentiary,6
Lake/Waterway,11
Liquor Store,2
Parking Lot/Garage,3977
Rental/Storage Facility,67
Residence/Home,5325
Restaurant,62
School/College,76
Service/Gas Station,191
Specialty Store,147
Other/Unknown,741
TOTAL,14765
