COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,90806,5044.82,4581,1,12,25,44,42,77,1015,14,4,356,1789,109,67,333,82,13,1121,418,6,12,0,1,1,71
State Police,,,69,0,0,0,0,0,3,4,0,0,0,6,2,1,21,0,0,2,30,0,0,0,0,0,3
Arlington County PD6,194358,4533.39,8811,4,38,48,118,168,192,1073,12,0,360,3325,357,150,924,101,51,1849,639,2,17,6,8,0,89
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD,292491,5954.37,17416,6,89,65,194,328,313,4831,100,9,1421,5577,462,292,1242,208,46,4462,1238,10,9,0,46,0,495
State Police,,,180,0,0,0,0,1,1,3,0,0,0,10,4,5,11,0,0,0,148,0,0,0,0,0,3
Fairfax County PDi,979967,3715.32,36409,10,345,54,97,408,270,7107,124,7,1457,12640,1441,284,2159,249,334,11174,1779,1,28,7,99,0,599
State Police,,,236,0,0,0,2,1,18,16,0,1,1,11,16,7,24,1,7,4,126,1,0,0,1,1,9
Henrico County PD,286842,6449.89,18501,9,93,42,32,328,258,3650,90,0,1511,7692,614,449,678,51,61,4253,1459,3,8,1,28,0,342
State Police,,,77,0,0,1,0,0,1,1,0,0,0,10,2,2,23,1,0,3,35,0,0,0,0,0,4
James City County PD,59183,4009.6,2373,1,20,10,31,19,35,729,28,0,151,696,58,41,170,49,8,529,143,2,1,0,3,1,39
State Police,,,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,0,0,0
Prince George County PD,36494,2825.12,1031,0,5,10,23,11,30,189,2,0,99,292,36,10,34,10,9,266,132,0,0,0,0,0,31
State Police,,,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,1
Prince William County PD,361972,4737.1,17147,14,62,30,132,368,401,2824,85,1,1423,5448,670,272,979,173,65,3582,1592,21,5,1,14,3,373
State Police,,,172,0,0,0,0,0,5,6,0,0,0,10,9,3,30,0,1,6,100,0,2,0,0,0,12
Roanoke County PD,82393,3490.58,2876,0,17,17,35,15,130,833,8,0,252,841,52,100,289,26,4,380,397,2,7,0,0,0,42
State Police,,,28,0,0,1,1,0,0,3,0,0,0,2,0,0,11,1,0,0,9,0,0,0,0,0,0
