Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,322,270,52,127
Bedford PD,27,26,1,4
Bristol PD,54,47,7,20
Buena Vista PD,14,13,1,1
Charlottesville PD,113,104,9,25
Chesapeake PD,343,294,49,176
Clifton Forge PD,10,10,0,6
Colonial Heights PD,44,38,6,4
Covington PD,16,15,1,11
Danville PD,126,107,19,10
Emporia PD,26,26,0,9
Fairfax PD,63,59,4,16
Falls Church PD,29,20,9,11
Franklin PD,25,24,1,12
Fredericksburg PD,66,59,7,25
Galax PD,24,22,2,15
Hampton PD,284,240,44,111
Harrisonburg PD,79,74,5,14
Hopewell PD,49,44,5,14
Lexington PD,15,14,1,2
Lynchburg PD,159,148,11,71
Manassas PD,89,72,17,26
Manassas Park PD,28,25,3,9
Martinsville PD,53,50,3,6
Newport News PD,392,335,57,142
Norfolk PD,729,639,90,115
Norton PD,16,16,0,6
Petersburg PD,98,86,12,44
Poquoson PD,21,19,2,5
Portsmouth PD,248,221,27,104
Radford PD,33,29,4,13
Richmond PD,690,591,99,233
Roanoke PD,258,236,22,53
Salem PD,62,59,3,23
Staunton PD,52,48,4,15
Suffolk PD,160,140,20,56
Virginia Beach PD,800,697,103,155
Waynesboro PD,50,43,7,8
Williamsburg PD,34,29,5,16
Winchester PD,72,65,7,13
City Total,5773,5054,719,1726
