TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD,7938,11174.09,887,0,2,6,8,2,17,110,1,2,40,399,24,85,47,4,4,135,50,0,0,0,0,0,11
Altavista PD,3366,7664.88,258,0,0,1,2,3,6,78,3,0,8,86,10,7,5,2,3,59,9,0,0,0,0,0,7
Amherst PD,2221,3376.85,75,0,0,0,1,0,3,15,0,0,5,19,0,0,2,0,0,19,10,0,0,0,0,0,3
Appalachia PD,1774,9977.45,177,1,0,1,5,1,8,41,2,0,6,57,6,1,0,0,2,36,22,0,1,0,0,0,0
Ashland PD,6943,8180.9,568,0,2,2,7,6,6,78,2,0,33,240,13,10,24,3,2,174,23,0,0,0,0,0,6
Berryville PD,3110,6205.78,193,0,1,1,0,0,2,28,1,0,13,71,5,1,8,0,1,66,11,0,0,0,0,0,1
Big Stone Gap PD,5833,5708.89,333,0,5,1,2,3,6,37,1,0,22,175,6,15,1,1,1,62,33,0,0,0,0,0,4
Blacksburg PD,39212,3825.35,1500,1,4,17,12,10,50,262,6,0,117,478,31,18,79,2,4,522,52,0,0,0,0,0,25
Blackstone PD,3592,10606.9,381,1,3,1,2,4,8,75,2,0,18,106,10,24,6,0,2,96,52,0,0,0,1,1,6
Bluefield PD,5030,7117.29,358,0,2,1,0,0,5,29,2,0,12,154,11,41,9,6,0,66,42,0,0,0,0,0,4
Bowling Green PD0,962,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD0,603,3814.26,23,0,0,0,0,0,3,0,0,0,0,8,0,0,1,0,0,12,1,0,0,0,0,0,0
Bridgewater PD,5301,1150.72,61,0,0,1,1,0,4,6,0,0,8,18,1,1,3,1,3,14,9,0,0,0,0,0,1
Broadway PD,2429,1646.76,40,0,1,0,0,0,1,7,0,0,6,6,0,1,1,1,0,11,7,0,0,0,0,0,0
Brookneal PD,1244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkeville PD0,479,1043.84,5,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD,1180,2627.11,31,0,0,0,0,0,0,7,0,0,3,11,2,1,2,0,0,4,1,0,0,0,0,0,2
Cedar Bluff PD,1076,3996.28,43,0,0,0,0,0,1,2,0,0,6,19,6,0,3,0,0,9,3,0,0,0,0,0,0
Chase City PD,2393,6351.85,152,0,2,0,4,2,2,27,0,0,9,63,5,0,3,0,0,40,7,0,0,0,0,0,3
Chatham PD,1302,1382.48,18,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,13,0,0,0,0,0,0,0
Chilhowie PD,1784,3419.28,61,0,1,0,0,0,0,6,1,0,4,25,1,5,1,1,0,15,4,1,0,0,0,0,0
Chincoteague PD,4416,5955.61,263,0,0,3,0,0,4,71,0,0,29,99,10,2,2,0,3,28,42,1,1,0,1,0,4
Christiansburg PD,17495,9539.86,1669,0,4,7,30,9,13,441,9,0,100,519,24,48,139,38,3,263,304,1,2,0,4,0,34
Clarksville PD,1295,7413.12,96,0,0,0,0,1,1,7,0,0,3,39,3,4,0,1,0,25,18,0,0,0,0,0,2
Clifton Forge PD,4659,4421.54,206,0,0,0,1,0,5,43,2,0,19,68,1,1,1,0,2,71,20,0,0,0,0,0,4
Clinchco PD9,412,485.43,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clintwood PD,1511,6419.58,97,0,0,0,2,0,0,12,1,0,18,46,6,1,3,0,1,23,10,0,0,0,0,0,1
Coeburn PD8,1985,453.4,9,0,0,0,0,0,0,2,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0
Colonial Beach PD,3301,5755.83,190,1,0,0,0,3,9,25,1,0,14,56,7,3,1,1,1,75,9,0,0,1,1,0,5
Courtland PD,1243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD,2315,6781.85,157,0,0,0,0,2,2,20,2,2,14,68,3,1,1,1,0,35,5,0,0,0,0,0,1
Culpeper PD,11070,12565.49,1391,1,7,8,20,17,42,376,2,0,50,389,19,67,70,25,12,320,113,2,0,0,0,0,30
Damascus PD,1094,5758.68,63,0,0,0,0,0,2,5,0,0,4,24,8,1,3,0,2,2,21,0,0,0,0,0,2
Dayton PD,1345,2230.48,30,0,0,0,0,0,1,4,0,0,0,8,1,1,3,0,0,7,6,0,0,0,0,0,1
Dublin PD,2227,5298.6,118,0,0,0,0,0,2,15,0,0,8,55,3,7,3,0,0,24,12,0,0,0,0,0,2
Dumfries PD,4848,6002.47,291,0,0,1,0,8,16,34,1,0,30,91,15,1,9,2,1,65,24,0,8,2,0,0,3
Edinburg PD,845,1420.11,12,0,0,0,0,0,0,3,0,0,1,6,0,0,1,0,0,2,0,0,0,0,0,0,0
Elkton PD,2038,2600.58,53,0,0,1,1,0,2,12,0,0,4,19,3,0,0,0,0,2,10,0,0,0,0,0,3
Exmore PD2,14055,480.42,77,1,0,1,0,2,3,11,0,0,9,29,1,2,4,0,0,13,1,0,0,0,0,0,1
Farmville PD,7011,1882.75,132,0,0,0,0,1,0,8,0,0,22,54,3,4,5,5,1,30,15,0,0,0,0,0,0
Fries PD,580,344.82,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Front Royal PD,14210,7952.14,1130,0,3,6,11,12,13,267,8,0,34,373,36,18,36,14,0,298,92,0,0,0,1,0,20
Gate City PD,2080,4807.69,100,0,0,0,1,0,4,11,0,0,9,41,2,9,3,0,1,20,14,0,0,0,0,0,2
Glade Springs PD,1551,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow PD0,1018,1866.4,19,0,0,0,0,0,1,5,0,0,2,5,0,1,2,0,1,5,2,0,0,0,0,0,1
Glen Lyn PD,162,10493.82,17,0,0,0,0,0,0,2,0,0,1,10,1,1,1,1,0,1,1,0,0,0,0,0,1
Gordonsville PD,1577,4311.98,68,0,0,1,0,0,0,9,0,0,3,24,1,1,1,2,0,13,16,0,0,0,0,0,1
Gretna PD,1226,1876.01,23,0,0,0,0,1,1,1,0,0,4,13,0,0,0,0,0,3,0,0,0,0,0,0,0
Grottoes PD,2166,2677.74,58,0,0,2,0,0,1,9,1,0,7,11,2,0,1,0,0,8,19,0,0,0,0,0,2
Grundy PD,1022,1859.09,19,0,0,0,0,0,1,4,0,0,3,8,0,0,0,0,0,3,2,0,0,0,0,0,0
Halifax PD,1309,2139.03,28,0,0,0,0,0,0,6,0,0,4,8,0,0,1,0,0,7,1,0,0,0,0,0,1
Haymarket PD,1019,5201.17,53,0,0,1,0,0,0,4,0,0,1,15,1,0,2,1,0,3,26,0,0,0,0,0,4
Haysi PD,181,552.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
