Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,260,0,0,2,1,0,0,17,0,0,7,141,3,0,10,0,2,57,41,0,1,0,0,0,3
Emory & Henry Campus Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ferrum College Police,,,70,0,0,1,0,1,2,5,3,0,7,20,0,0,0,0,0,22,14,0,0,0,0,0,1
George Mason University PD,,,509,0,2,1,2,2,7,25,0,0,8,308,2,2,20,1,1,81,81,0,0,0,0,0,5
Hampton University PD,,,208,0,0,0,0,1,1,14,0,0,23,142,1,0,16,0,0,30,0,0,0,0,0,0,0
James Madison University PD,,,51,0,0,0,0,1,1,1,1,0,0,16,0,1,0,0,0,29,1,0,0,0,0,0,0
J. Sargeant Reynolds Community College,,,373,0,1,2,0,0,1,10,0,0,4,167,0,0,9,0,0,163,41,0,1,0,0,0,0
Longwood College PD,,,176,0,0,3,2,1,1,13,0,0,6,97,1,0,0,0,0,40,11,0,0,0,0,0,2
Mary Washington College PD ,,,276,0,0,0,5,5,1,33,2,0,41,93,4,3,6,0,0,86,8,0,0,0,0,0,5
Norfolk State University PD,,,256,0,0,0,0,1,0,9,1,0,4,173,2,0,2,0,0,70,1,0,0,0,0,0,0
N. Virginia Comm College PD,,,405,0,0,3,0,3,2,39,0,0,16,184,1,20,2,0,1,125,16,0,0,0,0,0,7
Old Dominion Campus PD,,,289,0,0,2,1,0,10,21,6,0,5,114,0,1,4,0,1,109,42,0,0,0,0,0,3
Radford University PD,,,29,0,0,0,0,0,0,6,0,0,2,18,0,2,0,0,0,6,0,0,0,0,0,0,0
Thomas Nelson Comm Col PD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Richmond PD,,,264,0,0,1,3,0,1,16,1,0,21,108,0,0,3,0,0,100,29,0,0,0,0,0,1
University of Virginia PD,,,628,0,1,2,3,3,1,80,2,0,56,336,5,1,20,6,0,137,30,0,0,0,0,0,3
UVA's College at Wise PD,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA Commonwealth University PD,,,1073,0,2,0,10,13,12,115,6,0,11,599,10,12,14,2,3,96,193,0,0,0,0,0,50
Virginia Tech Police Department0,,,517,0,0,3,2,0,0,36,2,0,27,227,2,20,11,0,3,196,24,0,1,0,0,0,2
VA Western Comm. College PD,,,28,0,0,0,0,1,0,4,0,0,1,13,0,0,0,0,0,10,0,0,0,0,0,0,0
VMI Post Police,,,31,0,0,1,0,0,0,9,0,0,2,16,0,0,2,0,0,4,1,0,0,0,0,0,0
Virginia State Univ. Police,,,296,0,0,0,0,2,3,29,1,0,5,160,7,1,2,0,2,110,10,0,0,0,0,0,2
William & Mary College PD,,,321,0,1,0,0,1,0,19,2,0,17,159,0,2,4,1,1,109,11,0,0,0,0,0,1
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
