,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,133,130,176,151,134,163,164,174,110,125,125,152
"Assault, Aggrav.",828,717,827,881,898,867,939,898,919,896,787,695
"Assault, Other",6666,6023,7007,7103,7870,7185,7113,6909,7507,7266,6331,6312
Bribery,2,4,0,1,5,0,2,2,0,2,2,2
Burglary,2718,2191,2416,2362,2860,2758,2963,2883,2532,2603,2524,2719
Counterfeiting,788,650,765,721,773,835,662,736,621,654,616,674
Destruction,8074,6618,8317,7904,8073,8270,9078,8721,7881,8190,7695,7797
Drug,3926,3981,4340,3567,3943,3693,3681,3777,3560,3536,3420,3512
Embezzlement,315,234,266,272,305,285,300,333,295,304,291,320
Extortion,5,8,15,5,9,9,8,7,7,10,13,9
Fraud,1857,1571,1874,1716,1866,1808,1835,1823,1647,1713,1555,1622
Gambling,1,10,10,7,76,27,11,5,3,7,2,2
"Homicide, Murder",30,22,31,33,27,35,28,33,27,30,30,36
"Homicide, Neg.",4,0,0,1,2,2,0,4,0,2,2,1
Kidnapping,143,114,132,150,155,157,182,149,167,168,159,139
Larceny,11929,10250,11574,11838,13026,13271,13093,13360,12560,12283,11421,11249
MV Theft,1220,971,1132,1129,1178,1331,1317,1495,1338,1333,1248,1073
Pornography,19,21,19,17,20,37,35,36,24,24,23,23
Prostitution,78,91,97,77,85,134,115,59,60,120,62,52
Robbery,763,476,562,521,626,586,670,623,675,800,767,692
"Forcible Sex, Rape",137,144,143,135,156,143,161,169,167,133,127,128
"Forcible Sex, Other",350,241,302,278,298,337,327,315,283,258,219,205
Nonforcible Sex,31,17,21,13,16,20,46,16,15,21,18,13
Stolen Property,149,103,112,129,150,153,153,157,130,168,136,130
Weapon Laws,945,834,941,913,944,904,950,853,841,948,866,878
Group A Offenses,41111,35421,41079,39924,43495,43010,43833,43537,41369,41594,38439,38435
Group A Incidents,37505,32292,37751,36696,39965,39470,39984,39830,37814,37967,34971,34835
"Assaults, Other includes simple assaults, and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other includes sodomy, sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
