Location,Total Offenses
Air/Bus/Train Terminal,3
Bank/Savings and Loan,1
Bar/Night Club,5
Church/Synagogue/Temple,21
Commercial/Office Building,45
Construction Site,33
Convenience Store,16
Department/Discount Store,10
Drug Store/Doctor’s Office/Hospital,4
Field/Woods,155
Government/Public Building,28
Grocery/Supermarket,4
Highway/Road/Alley,180
Hotel/Motel/Etc.,12
Jail/Prison,4
Lake/Waterway,3
Liquor Store,0
Parking Lot/Garage,114
Rental Storage Facility,11
Residence/Home,750
Restaurant,10
School/College,140
Service/Gas Station,2
Specialty Store,7
Other/Unknown,179
Total,1737
