Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,1,0,1,0,244,20
Manslaughter,0,0,0,0,0,0,6,0
Kidnaping,0,0,0,0,0,0,840,62
"Sex Offenses, Forcible",7,0,0,0,7,0,1086,290
Robbery,2,4,1,0,3,4,1666,473
Aggravated Assault,10,0,8,0,18,0,4279,660
Simple Assault/Intimidation,61,2,16,2,77,4,31394,4914
Arson,0,0,0,0,0,0,197,200
Extortion/Blackmail,0,0,0,0,0,0,27,30
Burglary,6,2,0,0,6,2,3137,1167
Larceny,79,0,38,0,117,0,15971,4361
Motor Vehicle Theft,0,0,5,0,5,0,918,261
Counterfeiting/Forgery,29,0,24,0,53,0,2329,64
Fraud,10,0,30,0,40,0,3349,113
Embezzlement,5,0,6,0,11,0,1629,123
Stolen Property,6,0,3,1,9,1,824,165
Vandalism,31,0,3,0,34,0,3151,1618
Drug/Narcotic Offenses,266,9,94,6,360,15,29542,2798
"Sex Offenses, Nonforcible",0,0,0,0,0,0,125,14
Pornography,0,0,0,0,0,0,86,2
Gambling,0,0,1,0,1,0,110,6
Prostitution,0,0,0,0,0,0,771,1
Bribery,0,0,0,0,0,0,11,0
Weapon Law Violations,11,0,47,2,58,2,3381,697
TOTAL GROUP A,523,17,277,11,800,28,105073,18039
Bad Checks,3,0,4,0,7,0,5917,7
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,134,2988
Disorderly Conduct,98,1,23,0,121,1,5172,1816
Driving Under Influence,429,2,73,0,502,2,23692,173
Drunkenness,762,2,160,1,922,3,27793,238
"Family Offenses, Nonforcible",1,0,4,0,5,0,1501,16
Liquor Laws Violations,1192,44,1159,91,2351,135,9301,1843
Peeping Tom,2,0,0,0,2,0,70,7
Runaway,0,0,0,0,0,0,1,5260
Trespass of Real Property,311,3,11,1,322,4,8122,1276
Conspiracy,0,0,0,0,0,0,138,11
All Other (except Traffic),543,6,633,33,1176,39,89330,6925
TOTAL GROUP B,3341,58,2067,126,5408,184,171171,20560
GRAND TOTAL,3864,75,2344,137,6208,212,276244,38599
