COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,32215,3963.99,1277,5,1,5,17,40,34,366,2,0,119,356,55,52,21,11,0,203,24,1,0,0,0,0,18
State Police,,,102,0,0,1,0,0,0,4,0,0,1,14,2,4,9,0,2,2,69,0,1,0,1,0,6
Alleghany County SO,12576,1486.95,187,0,1,0,2,0,4,33,1,0,23,62,4,5,2,0,0,67,10,1,0,0,0,0,9
State Police,,,74,0,0,0,0,0,2,1,0,0,0,5,3,2,2,0,1,2,57,0,0,0,0,0,2
Amelia County SO,12501,2719.78,340,1,1,1,13,0,12,101,2,0,35,66,8,8,19,2,1,55,42,3,1,0,0,0,14
State Police,,,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0,2
Amherst County SO,29798,3023.69,901,0,2,10,19,8,21,136,6,0,61,315,19,20,35,12,0,162,135,0,1,0,2,0,10
State Police,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Appomattox County SO,14100,1425.53,201,0,1,1,3,1,2,23,0,0,18,98,2,3,11,2,0,21,27,0,1,0,0,0,3
State Police,,,11,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,5,0,0,0,0,0,0
Augusta County SO,70034,2036.15,1426,2,10,7,15,9,35,191,2,1,162,538,40,94,116,18,0,273,128,4,2,0,0,0,50
State Police,,,47,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,40,0,0,0,0,0,1
Bath County SO,4826,414.42,20,0,0,0,0,0,0,0,0,0,4,10,1,0,0,0,0,3,1,0,0,0,0,0,1
State Police,,,12,0,0,0,0,0,0,3,0,0,1,4,1,0,1,0,0,1,2,1,0,0,0,0,0
Bedford County SO,65033,2746.3,1786,1,10,10,24,1,44,667,7,0,135,497,32,16,43,6,1,384,131,2,23,0,0,0,51
State Police,,,28,0,0,0,1,0,2,2,0,0,0,5,3,1,4,0,1,2,9,0,0,0,0,0,0
Bland County SO,7116,2599.78,185,0,0,1,1,0,3,25,0,0,38,59,3,4,0,0,2,68,24,0,0,0,0,0,4
State Police,,,45,0,1,0,2,0,2,4,3,0,0,18,1,0,0,1,0,2,12,0,1,0,0,0,2
Botetourt County SO,31991,2982.09,954,0,1,0,13,0,16,211,3,0,58,300,21,16,43,6,2,184,159,1,0,0,0,0,21
State Police,,,38,0,0,0,0,0,1,0,0,1,0,3,1,0,2,0,0,2,27,0,0,0,0,0,1
Brunswick County SO,17418,2107.01,367,2,1,0,12,1,17,74,5,0,40,97,17,12,9,1,0,71,55,1,1,0,0,0,20
State Police,,,43,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,39,0,0,0,0,0,3
Buchanan County SO,24082,4202.3,1012,1,8,9,16,5,24,198,9,0,113,455,38,44,48,0,9,130,45,1,0,0,0,0,27
State Police,,,12,0,0,0,1,0,0,1,2,0,2,2,0,0,3,2,0,0,2,0,0,0,0,0,0
Buckingham County SO,16368,2376.59,389,0,1,1,1,3,15,103,0,0,64,99,9,5,5,3,1,72,41,0,0,0,0,0,18
State Police,,,21,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,15,0,0,0,0,0,0
Campbell County SO,47406,3778,1791,4,3,10,38,11,49,533,6,1,144,563,44,28,72,10,1,354,76,5,13,0,0,0,38
State Police,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0
Caroline County SO,24843,4335.22,1077,3,9,6,7,9,59,209,4,0,72,405,6,16,69,2,6,198,103,1,3,0,1,0,30
State Police,,,49,0,0,0,0,0,1,0,0,0,0,14,9,0,0,0,3,1,25,0,0,0,0,0,1
Carroll County SO,26973,3051.19,823,1,3,3,1,3,37,198,1,0,117,226,49,24,27,2,2,198,57,0,0,1,0,0,23
State Police,,,44,0,0,0,1,0,2,1,0,0,0,11,3,0,5,0,0,2,19,0,0,0,0,0,0
Charles City County SO 0,7047,1362.28,96,0,0,0,0,0,4,21,0,0,17,20,5,2,2,2,0,15,11,0,0,0,0,0,6
State Police,,,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,3
Charlotte County SO,12762,3549.6,453,1,1,1,8,2,22,197,0,0,39,98,17,7,4,0,1,71,37,4,1,0,0,0,12
State Police,,,33,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,27,0,0,0,0,0,0
Clarke County SO,11014,4212.82,464,0,3,2,2,1,25,70,6,0,39,168,7,7,13,2,0,163,28,1,0,0,0,0,8
State Police,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0
Craig County SO,5095,961.73,49,0,0,0,0,0,6,18,0,0,6,9,0,0,0,0,0,6,3,0,0,0,0,0,2
State Police,,,19,0,0,0,2,0,0,2,1,0,0,5,2,5,0,0,0,2,3,0,0,0,0,0,0
Culpeper County SO0,33113,2023.37,670,0,3,1,16,2,22,191,1,0,33,158,14,8,18,2,2,152,106,0,1,0,1,0,20
State Police,,,72,0,0,0,0,0,7,2,1,0,0,3,0,0,3,0,0,2,47,0,8,0,0,0,2
Cumberland County SO,9642,2105.26,200,0,1,4,8,0,10,71,0,0,32,40,10,1,4,0,0,32,15,0,1,0,0,0,9
State Police,,,9,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0
Dickenson County SO,14179,3935.39,558,0,1,2,9,0,19,159,8,0,66,190,14,14,15,0,1,86,32,7,0,0,0,0,20
State Police,,,12,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0
Dinwiddie County SO,25816,3094.97,799,3,9,1,8,14,32,53,2,0,75,278,46,20,47,5,6,178,103,0,0,0,0,0,19
State Police,,,33,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,30,0,0,0,0,0,0
Essex County SO,8376,2399.71,201,0,0,2,0,2,7,36,1,0,13,73,14,4,11,0,1,42,25,0,0,0,0,0,1
State Police,,,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,0,0,0,0,0,0
Fauquier County SO,56317,3458.99,1948,2,4,3,36,9,67,369,9,0,105,564,41,28,116,13,7,537,207,1,0,0,0,1,54
State Police,,,76,0,1,1,0,0,0,1,0,0,3,13,2,1,1,1,1,1,53,0,0,0,0,0,2
Floyd County SO,15026,2003.19,301,0,1,1,3,0,14,46,1,0,28,111,19,3,9,0,2,65,31,0,0,0,0,0,2
State Police,,,21,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,16,0,0,0,0,0,1
Fluvanna County SO,25668,2462.21,632,0,4,3,6,4,22,196,3,0,34,125,14,7,24,4,4,173,62,1,0,0,0,0,15
State Police,,,20,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,16,0,0,0,0,0,0
Franklin County SO,46752,2158.19,1009,2,9,8,24,2,26,131,0,0,80,411,51,11,31,3,4,242,82,2,0,0,0,0,15
State Police,,,21,2,0,0,1,0,0,0,2,0,0,2,0,1,8,1,0,0,4,0,0,0,0,0,2
Frederick County SO,68275,4328.08,2955,6,16,28,37,21,50,740,7,0,332,960,138,93,99,29,7,793,89,5,4,0,0,0,46
State Police,,,189,0,0,0,0,0,1,3,0,0,0,2,3,2,7,0,0,1,171,0,1,0,0,0,2
Giles County SO,9592,4211.84,404,1,3,7,12,3,3,80,6,0,26,150,16,7,17,0,0,55,49,0,0,0,0,0,3
State Police,,,13,0,0,0,0,0,2,0,2,0,1,3,0,1,1,0,0,1,3,0,0,0,0,0,0
Gloucester County SO,35931,4038.3,1451,0,0,4,4,2,9,414,8,0,51,411,26,15,37,8,1,255,243,1,1,0,0,0,10
State Police,,,213,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,210,0,1,0,0,0,1
Goochland County SO,19796,1899.37,376,3,1,0,2,3,52,7,0,0,36,154,11,6,21,1,3,111,23,0,0,0,0,0,9
State Police,,,37,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,34,0,0,0,0,0,1
Grayson County SO,14923,2412.38,360,0,3,3,8,1,18,91,2,0,91,79,17,8,6,1,2,55,39,0,0,0,0,0,14
State Police,,,17,0,0,0,1,0,2,1,0,0,0,2,2,0,0,0,1,0,8,0,0,0,0,0,0
Greene County SO,17165,2854.65,490,0,3,1,20,3,23,113,3,0,31,163,17,3,11,5,0,141,34,0,1,0,0,0,10
State Police,,,27,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,19,0,0,0,0,0,0
