Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,5476,3501,8451,9016,10796,8476,2493
Tuesday,4986,3373,7836,8912,10625,8580,2263
Wednesday,5293,3251,7834,8907,10852,8493,2316
Thursday,5204,3227,7905,8599,10903,8528,2245
Friday,5848,3254,8318,10158,13373,10361,2626
Saturday,7089,2619,6844,9051,10188,10452,2143
Sunday,7564,2317,5703,7832,8826,8245,1811
