Point of Entry/Exit During Motor Vehicle Theft,Entry,Exit
Front,268,139
Rear,69,22
Side,187,81
Attic,0,1
Vent/AC,0,0
Window,133,29
Door,581,334
Patio/Sliding Dr,0,0
Balcony/Fire Escape,0,0
Attached Garage,15,13
Wall,1,1
Vehicle,264,82
Floor,3,1
Roof/Skylight,2,0
Hidden Within,0,0
Other,75,67
Unknown,789,437
