Violent Crime Where Offender(s) Suspected of Using By Offense,,,
Suspected of Using,Alcohol,Computer Equipment,Drugs
Murder/Non-Negligent Manslaughter,17,0,7
Negligent Manslaughter,3,0,0
Aggravated Assault,1247,4,161
Forcible Rape,200,1,62
Forcible Sodomy,52,3,15
Sexual Assault with an Object,22,0,2
Forcible Fondling,100,7,18
Robbery,177,4,61
Total,1818,19,326
