Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks,9020,6345,2629,7,39
Curfew/Loitering/Vagrancy Violations,2332,1411,895,1,25
Disorderly Conduct,6268,3112,3101,9,46
Driving Under the Influence,25302,20112,4973,23,194
Drunkenness,25971,18699,7114,34,124
"Family Offenses, Nonviolent",960,438,516,0,6
Liquor Law Violations,11497,8137,3126,12,222
Peeping Tom,89,63,26,0,0
Runaway,3084,1724,1318,3,39
Trespass of Real Property,7955,3568,4349,6,32
Conspiracy to Commit Group A Offense,71,40,31,0,0
Conspiracy to Commit Group B Offense,15,11,4,0,0
All Other Offenses,83985,44177,39170,57,581
Total Group B Arrests,176549,107837,67252,152,1308
