Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD 6,130100,6451.96,8394,0,18,28,9,152,191,1318,21,1,523,4420,702,119,303,61,11,2423,379,3,1,6,8,0,32
State Police,,,30,0,0,0,0,0,5,1,0,0,0,0,0,5,9,0,0,4,7,0,0,0,0,0,2
Bedford PD,6400,9109.37,583,0,2,4,8,3,20,196,0,0,17,156,6,43,14,6,1,79,73,2,0,0,0,0,11
State Police,,,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
Bristol PD,17400,9902.29,1723,3,14,4,21,7,41,642,6,0,57,553,36,88,46,3,8,373,93,0,0,0,0,0,30
State Police,,,9,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,1,4,0,0,0,0,0,0
Buena Vista PD,6400,1765.62,113,0,0,2,5,0,12,22,1,0,8,40,1,4,0,1,0,22,5,0,0,0,0,0,1
State Police,,,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0
Charlottesville PD,39700,11115.86,4413,3,9,25,32,72,364,982,16,0,240,1483,120,37,140,36,10,1361,414,4,0,0,0,1,61
State Police,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1
Chesapeake PD 3,204700,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,52,0,0,0,0,0,5,1,0,0,0,3,0,1,7,1,0,3,26,0,0,0,0,0,7
Clifton Forge PD,4289,5385.87,231,0,0,1,2,0,10,29,0,0,24,112,3,6,2,0,0,84,11,0,0,0,0,0,4
State Police,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Colonial Heights PD,16900,11130.17,1881,0,7,2,9,17,29,267,6,0,92,856,39,74,93,50,6,371,167,0,1,0,0,0,30
State Police,,,36,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,1,8,0,0,0,0,0,8
Covington PD,6300,7349.2,463,0,0,1,3,4,7,82,4,0,38,215,8,13,4,2,0,117,14,1,0,0,0,0,6
State Police,,,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0
Danville PD 4,48000,10633.33,5104,2,3,16,12,87,211,1380,18,0,328,1934,132,169,120,31,3,1067,321,7,1,2,6,0,126
State Police,,,42,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,15,0,0,0,0,0,5
Emporia PD,5800,17775.86,1031,1,2,2,1,21,54,221,4,0,59,390,42,37,26,3,2,174,120,0,0,2,0,0,35
State Police,,,21,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,13,0,0,0,0,0,4
Fairfax PD,21700,5935.48,1288,0,1,5,12,8,42,279,5,0,83,597,40,17,50,10,3,236,48,0,0,0,0,0,25
State Police,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Falls Church PD0,10700,7196.26,770,0,1,2,1,10,15,123,0,0,43,375,71,15,20,9,2,176,31,0,0,0,0,0,11
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Franklin PD,8400,13607.14,1143,0,2,1,6,10,18,278,1,0,61,452,30,24,12,19,9,284,108,1,0,0,0,0,22
State Police,,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Fredericksburg PD,19800,10434.34,2066,1,1,9,12,28,85,248,7,0,77,832,64,56,83,32,9,456,364,5,0,0,3,0,40
State Police,,,29,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,1,18,0,0,0,0,0,4
Galax PD,6800,12323.52,838,2,0,2,8,7,32,206,2,0,24,273,17,96,50,2,5,150,16,1,0,0,0,0,16
State Police,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0
