Age,Number,Percent Distribution
Under 10,333,0.12
10--14,2456,0.85
13-14,7720,2.66
15,6724,2.32
16,8772,3.03
17,9091,3.14
18,14410,4.97
19,15094,5.21
20,14566,5.03
21,13429,4.63
22,11677,4.03
23,10266,3.54
24,8955,3.09
25-29,36332,12.53
30-34,33566,11.58
35-39,34735,11.98
40-44,27838,9.6
45-49,16604,5.73
50-54,8748,3.02
55-59,4210,1.45
60-64,2109,0.73
65 & Over,2279,0.79
Total,289914,100.03
