Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,288,243,45,130
Bedford PD,22,22,0,4
Bristol PD,59,53,6,21
Buena Vista PD,13,12,1,1
Charlottesville PD,110,100,10,27
Chesapeake PD,347,299,48,101
Clifton Forge PD,11,10,1,4
Colonial Heights PD,43,36,7,4
Covington PD,16,16,0,8
Danville PD,136,120,16,7
Emporia PD,26,25,1,8
Fairfax PD,61,56,5,17
Falls Church PD,29,25,4,12
Franklin PD,29,27,2,12
Fredericksburg PD,47,41,6,25
Galax PD,24,22,2,6
Hampton PD,246,210,36,101
Harrisonburg PD,65,58,7,21
Hopewell PD,48,46,2,18
Lexington PD,16,16,0,2
Lynchburg PD,157,148,9,39
Manassas PD,79,68,11,17
Manassas Park PD,18,17,1,9
Martinsville PD,54,50,4,6
Newport News PD,391,342,49,129
Norfolk PD,730,652,78,121
Norton PD,17,16,1,6
Petersburg PD,115,108,7,42
Poquoson PD,19,18,1,5
Portsmouth PD,238,212,26,101
Radford PD,33,29,4,12
Richmond PD,648,557,91,116
Roanoke PD,235,219,16,48
Salem PD,62,59,3,25
South Boston PD,28,26,2,4
Staunton PD,47,41,6,17
Suffolk PD,141,117,24,34
Virginia Beach PD,730,654,76,155
Waynesboro PD,46,39,7,6
Williamsburg PD,34,30,4,15
Winchester PD,60,55,5,11
CITY TOTAL,5518,4894,624,1447
