Month,Stolen,Recovered,% Recovered
JAN,"22,313,233","7,484,301",33.5
FEB,"24,043,069","5,594,562",23.3
MARCH,"20,311,160","7,443,955",36.7
APR,"19,988,614","6,375,736",31.9
MAY,"29,594,416","7,366,320",24.9
JUNE,"23,075,765","7,322,290",31.7
JULY,"28,298,721","7,123,487",25.2
AUG,"31,103,493","9,048,046",29.1
SEPT,"23,029,510","7,225,173",31.4
OCT,"40,662,309","8,391,413",20.6
NOV,"28,564,105","6,528,109",22.9
DEC,"21,607,058","6,442,677",29.8
